neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ELEJAS,HERPETOLOGY,True,80056,Eleutherodactylus jasperi,,Eleutherodactylus jasperi,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus jasperi,,,,,,,
ELEJUA,HERPETOLOGY,True,80057,Eleutherodactylus juanariveroi,,Eleutherodactylus juanariveroi,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus juanariveroi,,,,,,,
ELEKAR,HERPETOLOGY,True,80058,Eleutherodactylus karlschmidti,,Eleutherodactylus karlschmidti,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus karlschmidti,,,,,,,
ELELEN,HERPETOLOGY,True,80059,Eleutherodactylus lentus,,Eleutherodactylus lentus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus lentus,,,,,,,
ELELOC,HERPETOLOGY,True,80060,Eleutherodactylus locustus,,Eleutherodactylus locustus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus locustus,,,,,,,
ELEMAR,HERPETOLOGY,True,80061,Eleutherodactylus marnockii,,Eleutherodactylus marnockii,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus marnockii,,,,,,,
ELEMON,HERPETOLOGY,True,80063,Eleutherodactylus monensis,,Eleutherodactylus monensis,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus monensis,,,,,,,
ELEMRT,HERPETOLOGY,True,80062,Eleutherodactylus martinicensis,,Eleutherodactylus martinicensis,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus martinicensis,,,,,,,
ELEPLA,HERPETOLOGY,True,80064,Eleutherodactylus planirostris,,Eleutherodactylus planirostris,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus planirostris,,,,,,,
ELEPOR,HERPETOLOGY,True,80065,Eleutherodactylus portoricensis,,Eleutherodactylus portoricensis,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus portoricensis,,,,,,,
